Id,Title,Episodes,Year,YearStart,YearEnd,TotalYears,EpisodesPerYear,Channel,American company,Technique,IMDb,google_user_rating
1600,Toon In with Me,600,2021-2024,2021,2024,3,200,MeTV,NA,Traditional/Live-Action,7.8,87
267,Capt'n Sailorbird,190,1959-1960,1959,1960,1,190,Syndication,Magic Screen Pictures Inc.,Traditional,5.4,68
862,Laurel and Hardy,156,1966-1967,1966,1967,1,156,NBC,Hanna-Barbera,Traditional,6.7,89
1088,The New 3 Stooges,156,1965-1966,1965,1966,1,156,Syndication,Cambria Productions,Traditional,7,87
797,Johnny Cypher in Dimension Zero,131,1967-1968,1967,1968,1,131,Syndication,"Oriolo Film Studios, Inc.",Traditional,6.4,62
533,Felix the Cat,260,1958-1960,1958,1960,2,130,Syndication,Felix the Cat Productions,Traditional,6.6,94
1465,Space Angel,260,1962-1964,1962,1964,2,130,Syndication,Cambria Productions,Traditional/Live-action,6.4,88
208,Bugs 'n' Daffy,130,1995-1996,1995,1996,1,130,Kids' WB,Warner Bros. Animation,Traditional,8.1,91
413,The Dick Tracy Show,130,1961-1962,1961,1962,1,130,Syndication,United Productions of America,Traditional,5.6,89
549,Force Five,130,1980-1981,1980,1981,1,130,Syndication,Jim Terry Productions,Traditional,5,94
1700,Voltron,124,1984-1985,1984,1985,1,124,Syndication,World Events Productions,Traditional,7.9,88
553,The Fox Cubhouse,234,1994-1996,1994,1996,2,117,Fox Kids,WQED,Traditional/Live-action,NA,0
968,Mel-O-Toons,104,1959-1960,1959,1960,1,104,Syndication,United Artists Television,Traditional,8.3,91
135,Batfink,100,1966-1967,1966,1967,1,100,Syndication,Hal Seeger Productions,Traditional,7.1,90
1255,Q. T. Hush,100,1960-1961,1960,1961,1,100,Syndication,Animation Associates,Traditional,7.1,91
978,Mickey Mouse Works,96,1999-2000,1999,2000,1,96,ABC,Walt Disney Television Animation,Traditional,7.1,95
1097,The New Adventures of Mighty Mouse and Heckle & Jeckle,96,1979-1980,1979,1980,1,96,CBS,Filmation,Traditional,6.6,89
1797,Yogi Bear & Friends,96,1967-1968,1967,1968,1,96,Syndication,Hanna-Barbera,Traditional,6.6,92
